PMID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PubMed_URL
40185518,Pathogenesis of Parkinson's Disease.,4,"Xiao B, Zhou Z, Chao Y",Neurologic clinics,2025,10.1016/j.ncl.2024.12.003,https://doi.org/10.1016/j.ncl.2024.12.003,https://pubmed.ncbi.nlm.nih.gov/40185518/
30980848,"Parkinson's disease: Mechanisms, translational models and management strategies.",218,"Raza C, Anjum R, Shakeel NUA",Life sciences,2019,10.1016/j.lfs.2019.03.057,https://doi.org/10.1016/j.lfs.2019.03.057,https://pubmed.ncbi.nlm.nih.gov/30980848/
26718594,Epidemiology of Parkinson's disease.,175,"Elbaz A, Carcaillon L, Kab S",Revue neurologique,2015,10.1016/j.neurol.2015.09.012,https://doi.org/10.1016/j.neurol.2015.09.012,https://pubmed.ncbi.nlm.nih.gov/26718594/
29160144,"Parkinson's disease psychosis: presentation, diagnosis and management.",68,"Schneider RB, Iourinets J, Richard IH",Neurodegenerative disease management,2017,10.2217/nmt-2017-0028,https://doi.org/10.2217/nmt-2017-0028,https://pubmed.ncbi.nlm.nih.gov/29160144/
18041935,Overview of Parkinson's disease.,54,Lew M,Pharmacotherapy,N/A,10.1592/phco.27.12part2.155S,https://doi.org/10.1592/phco.27.12part2.155S,https://pubmed.ncbi.nlm.nih.gov/18041935/
23663200,The hallmarks of Parkinson's disease.,153,"Antony PM, Diederich NJ, Krüger R",The FEBS journal,2013,10.1111/febs.12335,https://doi.org/10.1111/febs.12335,https://pubmed.ncbi.nlm.nih.gov/23663200/
34151863,Gene Therapy for Parkinson's Disease Associated with GBA1 Mutations.,38,"Abeliovich A, Hefti F, Sevigny J",Journal of Parkinson's disease,N/A,10.3233/JPD-212739,https://doi.org/10.3233/JPD-212739,https://pubmed.ncbi.nlm.nih.gov/34151863/
34462054,Metabolomics in Parkinson's disease.,11,"Troisi J, Landolfi A, Cavallo P",Advances in clinical chemistry,2020,10.1016/bs.acc.2020.09.003,https://doi.org/10.1016/bs.acc.2020.09.003,https://pubmed.ncbi.nlm.nih.gov/34462054/
9196696,Parkinson's disease.,2,Playfer JR,Postgraduate medical journal,N/A,10.1136/pgmj.73.859.257,https://doi.org/10.1136/pgmj.73.859.257,https://pubmed.ncbi.nlm.nih.gov/9196696/
33450279,Parkinson's disease in women: Mechanisms underlying sex differences.,37,"Vaidya B, Dhamija K, Guru P",European journal of pharmacology,2021,10.1016/j.ejphar.2021.173862,https://doi.org/10.1016/j.ejphar.2021.173862,https://pubmed.ncbi.nlm.nih.gov/33450279/
35001381,Peri-operative management of patients with Parkinson's disease.,6,"Yim RLH, Leung KMM, Poon CCM",Anaesthesia,N/A,10.1111/anae.15617,https://doi.org/10.1111/anae.15617,https://pubmed.ncbi.nlm.nih.gov/35001381/
31176633,Young-onset Parkinson's disease: Its unique features and their impact on quality of life.,48,"Mehanna R, Jankovic J",Parkinsonism & related disorders,2019,10.1016/j.parkreldis.2019.06.001,https://doi.org/10.1016/j.parkreldis.2019.06.001,https://pubmed.ncbi.nlm.nih.gov/31176633/
37641911,Homocysteine and Parkinson's disease.,15,Zhou L,CNS neuroscience & therapeutics,2023,10.1111/cns.14420,https://doi.org/10.1111/cns.14420,https://pubmed.ncbi.nlm.nih.gov/37641911/
29953178,Parkinson’s Disease: Basic knowledge.,4,Rose O,Medizinische Monatsschrift fur Pharmazeuten,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/29953178/
36762751,Rheumatic Manifestations of Parkinson's Disease: An Overview.,3,"Slouma M, Hajji H, Rahmouni S",Current rheumatology reviews,N/A,10.2174/1573397119666230210162808,https://doi.org/10.2174/1573397119666230210162808,https://pubmed.ncbi.nlm.nih.gov/36762751/
34713282,The initial diagnosis and management of Parkinson's disease.,19,"Waller S, Williams L, Morales-Briceño H",Australian journal of general practice,N/A,10.31128/AJGP-07-21-6087,https://doi.org/10.31128/AJGP-07-21-6087,https://pubmed.ncbi.nlm.nih.gov/34713282/
32908622,Parkinson's Disease-Induced Zebrafish Models: Focussing on Oxidative Stress Implications and Sleep Processes.,25,"Robea MA, Balmus IM, Ciobica A",Oxidative medicine and cellular longevity,2020,10.1155/2020/1370837,https://doi.org/10.1155/2020/1370837,https://pubmed.ncbi.nlm.nih.gov/32908622/
20055267,Parkinson's disease.,8,"Béné R, Antić S, Budisić M",Acta clinica Croatica,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/20055267/
31269887,Suicide in Parkinson's Disease: A Systematic Review.,12,"Berardelli I, Belvisi D, Nardella A",CNS & neurological disorders drug targets,N/A,10.2174/1871527318666190703093345,https://doi.org/10.2174/1871527318666190703093345,https://pubmed.ncbi.nlm.nih.gov/31269887/
30989372,Is Parkinson's disease a chronic low-grade inflammatory bowel disease?,48,"Rolli-Derkinderen M, Leclair-Visonneau L, Bourreille A",Journal of neurology,2019,10.1007/s00415-019-09321-0,https://doi.org/10.1007/s00415-019-09321-0,https://pubmed.ncbi.nlm.nih.gov/30989372/
29307212,Palliative care for Parkinson's disease.,21,Ng JSC,Annals of palliative medicine,2018,10.21037/apm.2017.12.02,https://doi.org/10.21037/apm.2017.12.02,https://pubmed.ncbi.nlm.nih.gov/29307212/
28569280,Respiratory dysfunction in Parkinson's disease.,31,"Torsney KM, Forsyth D",The journal of the Royal College of Physicians of Edinburgh,N/A,10.4997/JRCPE.2017.108,https://doi.org/10.4997/JRCPE.2017.108,https://pubmed.ncbi.nlm.nih.gov/28569280/
31432604,Oxidative stress in the aging substantia nigra and the etiology of Parkinson's disease.,357,"Trist BG, Hare DJ, Double KL",Aging cell,2019,10.1111/acel.13031,https://doi.org/10.1111/acel.13031,https://pubmed.ncbi.nlm.nih.gov/31432604/
11471760,Parkinson's disease.,7,Aminoff MJ,Neurologic clinics,N/A,10.1016/s0733-8619(05)70008-6,https://doi.org/10.1016/s0733-8619(05)70008-6,https://pubmed.ncbi.nlm.nih.gov/11471760/
28802933,Cognition in Parkinson's Disease.,33,"O'Callaghan C, Lewis SJG",International review of neurobiology,2017,10.1016/bs.irn.2017.05.002,https://doi.org/10.1016/bs.irn.2017.05.002,https://pubmed.ncbi.nlm.nih.gov/28802933/
25862733,Parkinson's disease and the skin.,9,"Gregory R, Miller S",Practical neurology,2015,10.1136/practneurol-2015-001107,https://doi.org/10.1136/practneurol-2015-001107,https://pubmed.ncbi.nlm.nih.gov/25862733/
28549077,Clinical criteria for subtyping Parkinson's disease: biomarkers and longitudinal progression.,275,"Fereshtehnejad SM, Zeighami Y, Dagher A",Brain : a journal of neurology,N/A,10.1093/brain/awx118,https://doi.org/10.1093/brain/awx118,https://pubmed.ncbi.nlm.nih.gov/28549077/
29525906,Mild Cognitive Impairment in Parkinson's Disease-What Is It?,40,"Weil RS, Costantini AA, Schrag AE",Current neurology and neuroscience reports,2018,10.1007/s11910-018-0823-9,https://doi.org/10.1007/s11910-018-0823-9,https://pubmed.ncbi.nlm.nih.gov/29525906/
34400206,Does paraquat cause Parkinson's disease? A review of reviews.,14,Weed DL,Neurotoxicology,2021,10.1016/j.neuro.2021.08.006,https://doi.org/10.1016/j.neuro.2021.08.006,https://pubmed.ncbi.nlm.nih.gov/34400206/
29489958,Does Parkinson's disease start in the gut?,7,Gershanik OS,Arquivos de neuro-psiquiatria,N/A,10.1590/0004-282X20170188,https://doi.org/10.1590/0004-282X20170188,https://pubmed.ncbi.nlm.nih.gov/29489958/
28770388,Parkinson's disease pathogenesis from the viewpoint of small fish models.,10,"Matsui H, Takahashi R","Journal of neural transmission (Vienna, Austria : 1996)",2017,10.1007/s00702-017-1772-1,https://doi.org/10.1007/s00702-017-1772-1,https://pubmed.ncbi.nlm.nih.gov/28770388/
25086269,Serotonin in Parkinson's disease.,118,"Politis M, Niccolini F",Behavioural brain research,2014,10.1016/j.bbr.2014.07.037,https://doi.org/10.1016/j.bbr.2014.07.037,https://pubmed.ncbi.nlm.nih.gov/25086269/
31779812,'Atypical' Parkinson's disease - sporadic.,0,"Zeuner KE, Berg D",International review of neurobiology,2019,10.1016/bs.irn.2019.10.002,https://doi.org/10.1016/bs.irn.2019.10.002,https://pubmed.ncbi.nlm.nih.gov/31779812/
41052745,"Parkinson's disease and the gut-brain connection: unveiling pathways, mechanisms and promising therapies.",0,"Hajare S, Kulkarni YA",Brain research,2025,10.1016/j.brainres.2025.149975,https://doi.org/10.1016/j.brainres.2025.149975,https://pubmed.ncbi.nlm.nih.gov/41052745/
30149464,The European Physiotherapy Guideline for Parkinson's Disease: Implications for Neurologists.,37,"Domingos J, Keus SHJ, Dean J",Journal of Parkinson's disease,N/A,10.3233/JPD-181383,https://doi.org/10.3233/JPD-181383,https://pubmed.ncbi.nlm.nih.gov/30149464/
40185522,Motor Features of Parkinson's Disease.,2,Tarakad A,Neurologic clinics,2025,10.1016/j.ncl.2024.12.007,https://doi.org/10.1016/j.ncl.2024.12.007,https://pubmed.ncbi.nlm.nih.gov/40185522/
29115757,Parkinson's disease: nursing care in emergency settings.,1,Queen V,Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association,N/A,10.7748/en.2017.e1696,https://doi.org/10.7748/en.2017.e1696,https://pubmed.ncbi.nlm.nih.gov/29115757/
21887711,Parkinson's disease and α-synuclein expression.,99,"Devine MJ, Gwinn K, Singleton A",Movement disorders : official journal of the Movement Disorder Society,2011,10.1002/mds.23948,https://doi.org/10.1002/mds.23948,https://pubmed.ncbi.nlm.nih.gov/21887711/
30708352,The sweet road to Parkinson's disease.,1,"Renaud J, Simola N, Martinoli MG",Aging,N/A,10.18632/aging.101806,https://doi.org/10.18632/aging.101806,https://pubmed.ncbi.nlm.nih.gov/30708352/
27464001,"Parkinson's disease, antiparkinson medicines, and driving.",6,Álvarez FJ,Expert review of neurotherapeutics,2016,10.1080/14737175.2016.1218278,https://doi.org/10.1080/14737175.2016.1218278,https://pubmed.ncbi.nlm.nih.gov/27464001/
