PMID,PMC_ID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PDF_Link,PubMed_URL
34287238,PMC8929116,Coronavirus Disease 2019 (COVID-19) Diagnostic Tools: A Focus on Detection Technologies and Limitations.,17,"Qasem A, Shaw AM, Elkamel E",Current issues in molecular biology,2021,10.3390/cimb43020053,https://doi.org/10.3390/cimb43020053,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8929116/pdf/,https://pubmed.ncbi.nlm.nih.gov/34287238/
33689569,N/A,Road toward universal COVID-19 testing method - A review.,0,"Abdul Bari AB, Samuel PJ",Journal of immunoassay & immunochemistry,2021,10.1080/15321819.2021.1895214,https://doi.org/10.1080/15321819.2021.1895214,N/A,https://pubmed.ncbi.nlm.nih.gov/33689569/
34878316,PMC8653820,COVID-19 Antibody Detection and Assay Performance Using Red Cell Agglutination.,4,"Srivastava K, West KA, De Giorgi V",Microbiology spectrum,2021,10.1128/Spectrum.00830-21,https://doi.org/10.1128/Spectrum.00830-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8653820/pdf/,https://pubmed.ncbi.nlm.nih.gov/34878316/
33593219,N/A,A review on current diagnostic techniques for COVID-19.,15,"El Jaddaoui I, Allali M, Raoui S",Expert review of molecular diagnostics,2021,10.1080/14737159.2021.1886927,https://doi.org/10.1080/14737159.2021.1886927,N/A,https://pubmed.ncbi.nlm.nih.gov/33593219/
32839010,PMC7373047,Inpatient obstetric management of COVID-19.,3,"Aubey J, Zork N, Sheen JJ",Seminars in perinatology,2020,10.1016/j.semperi.2020.151280,https://doi.org/10.1016/j.semperi.2020.151280,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7373047/pdf/,https://pubmed.ncbi.nlm.nih.gov/32839010/
33787516,N/A,Prevalence of COVID-19 Virus Infection in Semnan province.,1,"Jandaghi E, Hemati M, Mohammadlou M",Iranian journal of immunology : IJI,N/A,10.22034/iji.2021.87670.1826,https://doi.org/10.22034/iji.2021.87670.1826,N/A,https://pubmed.ncbi.nlm.nih.gov/33787516/
33199136,PMC7567661,In-line treatments and clinical initiatives to fight against COVID-19 outbreak.,10,"Agrawal M, Saraf S, Saraf S",Respiratory medicine,2020,10.1016/j.rmed.2020.106192,https://doi.org/10.1016/j.rmed.2020.106192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7567661/pdf/,https://pubmed.ncbi.nlm.nih.gov/33199136/
33901641,PMC8064810,COVID-19 convalescent plasma as long-term therapy in immunodeficient patients?,15,"Rnjak D, Ravlić S, Šola AM",Transfusion clinique et biologique : journal de la Societe francaise de transfusion sanguine,2021,10.1016/j.tracli.2021.04.004,https://doi.org/10.1016/j.tracli.2021.04.004,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8064810/pdf/,https://pubmed.ncbi.nlm.nih.gov/33901641/
32320516,PMC7264656,Scientific research progress of COVID-19/SARS-CoV-2 in the first five months.,47,"Li H, Liu Z, Ge J",Journal of cellular and molecular medicine,2020,10.1111/jcmm.15364,https://doi.org/10.1111/jcmm.15364,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264656/pdf/,https://pubmed.ncbi.nlm.nih.gov/32320516/
34497366,PMC8424153,Advancements in detection of SARS-CoV-2 infection for confronting COVID-19 pandemics.,37,"Zhou Y, Zhang L, Xie YH",Laboratory investigation; a journal of technical methods and pathology,2021,10.1038/s41374-021-00663-w,https://doi.org/10.1038/s41374-021-00663-w,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8424153/pdf/,https://pubmed.ncbi.nlm.nih.gov/34497366/
40472672,N/A,COVID-19 serological survey utilizing antenatal serum samples in British Columbia.,0,"Márquez AC, Beitari S, Valadbeigy T",Vaccine,2025,10.1016/j.vaccine.2025.127310,https://doi.org/10.1016/j.vaccine.2025.127310,N/A,https://pubmed.ncbi.nlm.nih.gov/40472672/
33744904,PMC8089410,SARS-CoV-2 Infection and the COVID-19 Pandemic Emergency: The Importance of Diagnostic Methods.,11,"Ciotti M, Benedetti F, Zella D",Chemotherapy,2021,10.1159/000515343,https://doi.org/10.1159/000515343,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8089410/pdf/,https://pubmed.ncbi.nlm.nih.gov/33744904/
34426120,PMC8343376,Current scenario of COVID-19 vaccinations and immune response along with antibody titer in vaccinated inhabitants of different countries.,12,"Hussain A, Rafeeq H, Asif HM",International immunopharmacology,2021,10.1016/j.intimp.2021.108050,https://doi.org/10.1016/j.intimp.2021.108050,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8343376/pdf/,https://pubmed.ncbi.nlm.nih.gov/34426120/
35173731,PMC8841746,Identifying COVID-19 Infections From a Vaccinated Population Using Specific IgA Antibody Test.,4,"Cheng ZJ, Zheng P, Xue M",Frontiers in immunology,2022,10.3389/fimmu.2022.821218,https://doi.org/10.3389/fimmu.2022.821218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8841746/pdf/,https://pubmed.ncbi.nlm.nih.gov/35173731/
35184764,PMC8914136,COVID-19 seroprevalence amongst healthcare workers: potential biases in estimating infection prevalence.,2,"Cordioli M, Mirandola M, Gios L",Epidemiology and infection,2022,10.1017/S0950268822000280,https://doi.org/10.1017/S0950268822000280,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8914136/pdf/,https://pubmed.ncbi.nlm.nih.gov/35184764/
33666147,PMC8006950,Lessons learned 1 year after SARS-CoV-2 emergence leading to COVID-19 pandemic.,168,"To KK, Sridhar S, Chiu KH",Emerging microbes & infections,N/A,10.1080/22221751.2021.1898291,https://doi.org/10.1080/22221751.2021.1898291,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8006950/pdf/,https://pubmed.ncbi.nlm.nih.gov/33666147/
33823529,PMC8083455,Diagnostic Accuracy Estimates for COVID-19 Real-Time Polymerase Chain Reaction and Lateral Flow Immunoassay Tests With Bayesian Latent-Class Models.,26,"Kostoulas P, Eusebi P, Hartnack S",American journal of epidemiology,N/A,10.1093/aje/kwab093,https://doi.org/10.1093/aje/kwab093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8083455/pdf/,https://pubmed.ncbi.nlm.nih.gov/33823529/
32761898,PMC7436402,A systematic review and meta-analysis of children with coronavirus disease 2019 (COVID-19).,200,"Cui X, Zhao Z, Zhang T",Journal of medical virology,2020,10.1002/jmv.26398,https://doi.org/10.1002/jmv.26398,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7436402/pdf/,https://pubmed.ncbi.nlm.nih.gov/32761898/
33622845,N/A,Interpreting COVID-19 Test Results in Clinical Settings: It Depends!,4,"Piltch-Loeb R, Jeong KY, Lin KW",Journal of the American Board of Family Medicine : JABFM,N/A,10.3122/jabfm.2021.S1.200413,https://doi.org/10.3122/jabfm.2021.S1.200413,N/A,https://pubmed.ncbi.nlm.nih.gov/33622845/
32659413,PMC7350782,Systematic review with meta-analysis of the accuracy of diagnostic tests for COVID-19.,253,"Böger B, Fachi MM, Vilhena RO",American journal of infection control,2020,10.1016/j.ajic.2020.07.011,https://doi.org/10.1016/j.ajic.2020.07.011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7350782/pdf/,https://pubmed.ncbi.nlm.nih.gov/32659413/
