PMID,Title,Citation_Count,Authors,Journal,Year,DOI,DOI_Link,PubMed_URL
20610346,Alzheimer's disease: clinical trials and drug development.,457,"Mangialasche F, Solomon A, Winblad B",The Lancet. Neurology,N/A,10.1016/S1474-4422(10)70119-8,https://doi.org/10.1016/S1474-4422(10)70119-8,https://pubmed.ncbi.nlm.nih.gov/20610346/
33515559,A review on advances of treatment modalities for Alzheimer's disease.,72,"Se Thoe E, Fauzi A, Tang YQ",Life sciences,2021,10.1016/j.lfs.2021.119129,https://doi.org/10.1016/j.lfs.2021.119129,https://pubmed.ncbi.nlm.nih.gov/33515559/
30661858,Implications of sleep disturbance and inflammation for Alzheimer's disease dementia.,264,"Irwin MR, Vitiello MV",The Lancet. Neurology,2019,10.1016/S1474-4422(18)30450-2,https://doi.org/10.1016/S1474-4422(18)30450-2,https://pubmed.ncbi.nlm.nih.gov/30661858/
39485649,Cognitive Decline in Alzheimer's Disease.,6,"Testo AA, Roundy G, Dumas JA",Current topics in behavioral neurosciences,N/A,10.1007/7854_2024_527,https://doi.org/10.1007/7854_2024_527,https://pubmed.ncbi.nlm.nih.gov/39485649/
1727391,Alzheimer's disease.,3,"Bennett DA, Evans DA",Disease-a-month : DM,N/A,10.1016/0011-5029(92)90010-m,https://doi.org/10.1016/0011-5029(92)90010-m,https://pubmed.ncbi.nlm.nih.gov/1727391/
28704198,Alzheimer's disease: as it was in the beginning.,41,"Kozlov S, Afonin A, Evsyukov I",Reviews in the neurosciences,N/A,10.1515/revneuro-2017-0006,https://doi.org/10.1515/revneuro-2017-0006,https://pubmed.ncbi.nlm.nih.gov/28704198/
30946049,HDL from an Alzheimer's disease perspective.,63,"Button EB, Robert J, Caffrey TM",Current opinion in lipidology,N/A,10.1097/MOL.0000000000000604,https://doi.org/10.1097/MOL.0000000000000604,https://pubmed.ncbi.nlm.nih.gov/30946049/
31705489,Genetic Markers of Alzheimer's Disease.,44,"Nikolac Perkovic M, Pivac N",Advances in experimental medicine and biology,N/A,10.1007/978-981-32-9721-0_3,https://doi.org/10.1007/978-981-32-9721-0_3,https://pubmed.ncbi.nlm.nih.gov/31705489/
10340278,Alzheimer's disease.,6,"Reiman EM, Caselli RJ",Maturitas,N/A,10.1016/s0378-5122(98)00110-8,https://doi.org/10.1016/s0378-5122(98)00110-8,https://pubmed.ncbi.nlm.nih.gov/10340278/
3289659,Alzheimer's disease.,2,"Hardy JA, Davies DC",British journal of hospital medicine,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/3289659/
30046078,Alzheimer's disease.,153,Hodson R,Nature,N/A,10.1038/d41586-018-05717-6,https://doi.org/10.1038/d41586-018-05717-6,https://pubmed.ncbi.nlm.nih.gov/30046078/
25957008,[Alzheimer's disease].,7,Yilmaz U,Der Radiologe,N/A,10.1007/s00117-014-2796-2,https://doi.org/10.1007/s00117-014-2796-2,https://pubmed.ncbi.nlm.nih.gov/25957008/
38728185,Olfactory Dysfunction and Alzheimer's Disease: A Review.,11,"McLaren AMR, Kawaja MD",Journal of Alzheimer's disease : JAD,N/A,10.3233/JAD-231377,https://doi.org/10.3233/JAD-231377,https://pubmed.ncbi.nlm.nih.gov/38728185/
37395951,Fatigue in Alzheimer's disease: biological basis and clinical management-a narrative review.,6,"Angioni D, Raffin J, Ousset PJ",Aging clinical and experimental research,2023,10.1007/s40520-023-02482-z,https://doi.org/10.1007/s40520-023-02482-z,https://pubmed.ncbi.nlm.nih.gov/37395951/
1756089,Alzheimer's disease.,0,"Maas ML, Buckwalter KC",Annual review of nursing research,N/A,N/A,N/A,https://pubmed.ncbi.nlm.nih.gov/1756089/
40818475,"Down syndrome and Alzheimer's disease: insights into biomarkers, clinical symptoms, and pathology.",3,"Rafii MS, Schlachetzki Z, Barroeta I",The Lancet. Neurology,N/A,10.1016/S1474-4422(25)00237-6,https://doi.org/10.1016/S1474-4422(25)00237-6,https://pubmed.ncbi.nlm.nih.gov/40818475/
27570871,2016 Alzheimer's disease facts and figures.,1219,,Alzheimer's & dementia : the journal of the Alzheimer's Association,N/A,10.1016/j.jalz.2016.03.001,https://doi.org/10.1016/j.jalz.2016.03.001,https://pubmed.ncbi.nlm.nih.gov/27570871/
12598159,Alzheimer's disease and angiogenesis.,106,"Vagnucci AH, Li WW","Lancet (London, England)",N/A,10.1016/S0140-6736(03)12521-4,https://doi.org/10.1016/S0140-6736(03)12521-4,https://pubmed.ncbi.nlm.nih.gov/12598159/
32468464,Nutritional Lipidomics in Alzheimer's Disease.,8,Kalli E,Advances in experimental medicine and biology,N/A,10.1007/978-3-030-32633-3_14,https://doi.org/10.1007/978-3-030-32633-3_14,https://pubmed.ncbi.nlm.nih.gov/32468464/
28508314,TRPC Channels and Alzheimer's Disease.,14,"Lu R, He Q, Wang J",Advances in experimental medicine and biology,N/A,10.1007/978-94-024-1088-4_7,https://doi.org/10.1007/978-94-024-1088-4_7,https://pubmed.ncbi.nlm.nih.gov/28508314/
39000191,Resistance Exercise Training as a New Trend in Alzheimer's Disease Research: From Molecular Mechanisms to Prevention.,7,"Sepúlveda-Lara A, Sepúlveda P, Marzuca-Nassr GN",International journal of molecular sciences,2024,10.3390/ijms25137084,https://doi.org/10.3390/ijms25137084,https://pubmed.ncbi.nlm.nih.gov/39000191/
32048530,Is Alzheimer's disease a polymicrobial host microbiome dysbiosis?,9,"Singhrao SK, Harding A",Expert review of anti-infective therapy,2020,10.1080/14787210.2020.1729741,https://doi.org/10.1080/14787210.2020.1729741,https://pubmed.ncbi.nlm.nih.gov/32048530/
30725482,Microglia in Alzheimer's disease: A target for immunotherapy.,59,"Wang S, Colonna M",Journal of leukocyte biology,2019,10.1002/JLB.MR0818-319R,https://doi.org/10.1002/JLB.MR0818-319R,https://pubmed.ncbi.nlm.nih.gov/30725482/
25511390,Alzheimer's disease and chronic periodontitis: is there an association?,66,"Gaur S, Agnihotri R",Geriatrics & gerontology international,2014,10.1111/ggi.12425,https://doi.org/10.1111/ggi.12425,https://pubmed.ncbi.nlm.nih.gov/25511390/
31449049,[Visual perceptual disorders in Alzheimer's disease].,11,"Lenoir H, Siéroff É",Geriatrie et psychologie neuropsychiatrie du vieillissement,N/A,10.1684/pnv.2019.0815,https://doi.org/10.1684/pnv.2019.0815,https://pubmed.ncbi.nlm.nih.gov/31449049/
31747794,Facing the complexity of Alzheimer's disease.,4,"Dallemagne P, Rochais C",Future medicinal chemistry,2019,10.4155/fmc-2019-0310,https://doi.org/10.4155/fmc-2019-0310,https://pubmed.ncbi.nlm.nih.gov/31747794/
6610841,Clinical diagnosis of Alzheimer's disease: report of the NINCDS-ADRDA Work Group under the auspices of Department of Health and Human Services Task Force on Alzheimer's Disease.,8382,"McKhann G, Drachman D, Folstein M",Neurology,N/A,10.1212/wnl.34.7.939,https://doi.org/10.1212/wnl.34.7.939,https://pubmed.ncbi.nlm.nih.gov/6610841/
36295605,Polypharmacy in Older Adults with Alzheimer's Disease.,11,"Esumi S, Ushio S, Zamami Y","Medicina (Kaunas, Lithuania)",2022,10.3390/medicina58101445,https://doi.org/10.3390/medicina58101445,https://pubmed.ncbi.nlm.nih.gov/36295605/
19373081,Androgens and Alzheimer's disease.,13,"Drummond ES, Harvey AR, Martins RN","Current opinion in endocrinology, diabetes, and obesity",N/A,10.1097/MED.0b013e32832b101f,https://doi.org/10.1097/MED.0b013e32832b101f,https://pubmed.ncbi.nlm.nih.gov/19373081/
18924393,Alzheimer's disease and related dementias.,7,"Sanders S, Morano C",Journal of gerontological social work,N/A,10.1080/01634370802137900,https://doi.org/10.1080/01634370802137900,https://pubmed.ncbi.nlm.nih.gov/18924393/
35599478,Peripheral Inflammatory Biomarkers of Alzheimer's Disease.,2,"Hao J, Guo Y, Guo K",Journal of Alzheimer's disease : JAD,N/A,10.3233/JAD-215422,https://doi.org/10.3233/JAD-215422,https://pubmed.ncbi.nlm.nih.gov/35599478/
33283854,CSF tau microtubule binding region identifies tau tangle and clinical stages of Alzheimer's disease.,95,"Horie K, Barthélemy NR, Sato C",Brain : a journal of neurology,N/A,10.1093/brain/awaa373,https://doi.org/10.1093/brain/awaa373,https://pubmed.ncbi.nlm.nih.gov/33283854/
31876280,[The Convergence of Alzheimer's Disease Pathogenesis Concepts].,7,"Kozin SA, Makarov AA",Molekuliarnaia biologiia,N/A,10.1134/S0026898419060107,https://doi.org/10.1134/S0026898419060107,https://pubmed.ncbi.nlm.nih.gov/31876280/
39893023,Alzheimer's Disease Diagnosis and Management in the Age of Amyloid Monoclonal Antibodies.,2,Hales CM,The Medical clinics of North America,2024,10.1016/j.mcna.2024.10.003,https://doi.org/10.1016/j.mcna.2024.10.003,https://pubmed.ncbi.nlm.nih.gov/39893023/
27823753,"Alzheimer's disease, apolipoprotein E and hormone replacement therapy.",24,"Depypere H, Vierin A, Weyers S",Maturitas,2016,10.1016/j.maturitas.2016.09.009,https://doi.org/10.1016/j.maturitas.2016.09.009,https://pubmed.ncbi.nlm.nih.gov/27823753/
29963744,Aging and Alzheimer's disease: Comparison and associations from molecular to system level.,152,"Xia X, Jiang Q, McDermott J",Aging cell,2018,10.1111/acel.12802,https://doi.org/10.1111/acel.12802,https://pubmed.ncbi.nlm.nih.gov/29963744/
41008597,Translating Alzheimer's Disease Mechanisms into Therapeutic Opportunities.,2,"Li J, Wang L, Zhang X",Biomolecules,2025,10.3390/biom15091290,https://doi.org/10.3390/biom15091290,https://pubmed.ncbi.nlm.nih.gov/41008597/
3048527,Acetylcholine and Alzheimer's disease.,14,Perry E,The British journal of psychiatry : the journal of mental science,N/A,10.1192/bjp.152.6.737,https://doi.org/10.1192/bjp.152.6.737,https://pubmed.ncbi.nlm.nih.gov/3048527/
38928008,Mitochondrial One-Carbon Metabolism and Alzheimer's Disease.,7,"Yu Y, Martins LM",International journal of molecular sciences,2024,10.3390/ijms25126302,https://doi.org/10.3390/ijms25126302,https://pubmed.ncbi.nlm.nih.gov/38928008/
25253434,P300 Amplitude in Alzheimer's Disease: A Meta-Analysis and Meta-Regression.,44,"Hedges D, Janis R, Mickelson S",Clinical EEG and neuroscience,2014,10.1177/1550059414550567,https://doi.org/10.1177/1550059414550567,https://pubmed.ncbi.nlm.nih.gov/25253434/
